andresflores@LinuxAndresFlores:~/plutosdr$ ./plutorec output.iq
# frequency 10000000
# sampling 240000
# gain 69
# ms 1000
# ctx created 0x55997eecf670
# ret freq -22
# ret samp -22
# ret agc 7
# ret gain 0
8192 28205398 74.50332232
16384 27397214 74.37706402
24576 28029632 74.47617396
32768 27724465 74.42863174
40960 26911559 74.29938857
49152 28389601 74.53159289
57344 28375863 74.52949079
65536 27471926 74.38889108
73728 27421600 74.38092791
81920 29179570 74.65078888
90112 27763045 74.43467097
98304 28471736 74.54413948
106496 27763447 74.43473385
114688 29446202 74.69029287
122880 28468177 74.54359657
131072 28783749 74.59147359
139264 27782035 74.43764054
147456 28018735 74.47448524
155648 27483962 74.39079339
163840 27529919 74.39804934
172032 27937818 74.46192484
180224 27461891 74.38730439
188416 333590502 85.23213677
196608 29631717 74.71756817
204800 190204824 82.79221527
212992 27311886 74.36351691
221184 26957216 74.30675039
229376 27825869 74.44448736
237568 27482402 74.39054688
245760 27782209 74.43766774
253952 27769245 74.43564072
262144 27801538 74.44068822
270336 27457780 74.38665421
278528 28093971 74.4861313
286720 28386492 74.53111726
294912 27315364 74.36406992
303104 26728009 74.26966609
311296 28118719 74.48995532
319488 28135903 74.49260858
327680 28590884 74.56227583
335872 29094547 74.638116
344064 28457960 74.54203765
352256 31685282 75.00857577
360448 32721954 75.1483923
368640 27110972 74.33145088
376832 29364843 74.67827683
385024 27850199 74.44828303
393216 27592437 74.4079006
401408 27353623 74.37014857
409600 27732037 74.42981771
417792 27470348 74.38864161
425984 28168427 74.49762596
434176 27258531 74.35502447
442368 27057900 74.32294087
450560 26729247 74.26986724
458752 27562763 74.40322751
466944 27370095 74.37276305
475136 27732531 74.42989507
# mini -462
# minq -487
# maxi 495
# maxq 450
